zip,city,district,address
6267,서울특별시,강남구,강남대로 238 ~ 246
6266,서울특별시,강남구,강남대로 248 ~ 256
6265,서울특별시,강남구,강남대로 262 ~ 276
6258,서울특별시,강남구,강남대로 278 ~ 292
6253,서울특별시,강남구,강남대로 298 ~ 318
6252,서울특별시,강남구,강남대로 320 ~ 334
6242,서울특별시,강남구,강남대로 338 ~ 354
6241,서울특별시,강남구,강남대로 358 ~ 374
6232,서울특별시,강남구,강남대로 376 ~ 390
6232,서울특별시,강남구,강남대로 396
6134,서울특별시,강남구,강남대로 402 ~ 412
6129,서울특별시,강남구,강남대로 416 ~ 432
6123,서울특별시,강남구,강남대로 438 ~ 468
6120,서울특별시,강남구,강남대로 476 ~ 488
6119,서울특별시,강남구,강남대로 492 ~ 502
6114,서울특별시,강남구,강남대로 506 ~ 532
6110,서울특별시,강남구,강남대로 538 ~ 548
6044,서울특별시,강남구,강남대로 556 ~ 570
6043,서울특별시,강남구,강남대로 574 ~ 590
6038,서울특별시,강남구,강남대로 594 ~ 606
6035,서울특별시,강남구,강남대로 616 ~ 630
6034,서울특별시,강남구,강남대로 632 ~ 642
6027,서울특별시,강남구,강남대로 648 ~ 656
6000,서울특별시,강남구,강남대로 708
6129,서울특별시,강남구,강남대로100길 10 ~ 38
6128,서울특별시,강남구,강남대로100길 13 ~ 37
6123,서울특별시,강남구,강남대로102길 11 ~ 25
6128,서울특별시,강남구,강남대로102길 14 ~ 46
6124,서울특별시,강남구,강남대로102길 29 ~ 47
6124,서울특별시,강남구,강남대로106길 23 ~ 29
6123,서울특별시,강남구,강남대로106길 7 ~ 20
6124,서울특별시,강남구,강남대로110길 29 ~ 41
6127,서울특별시,강남구,강남대로110길 49 ~ 87
6128,서울특별시,강남구,강남대로110길 50 ~ 62
6123,서울특별시,강남구,강남대로110길 6 ~ 26
6130,서울특별시,강남구,강남대로110길 70 ~ 78
6131,서울특별시,강남구,강남대로110길 86
6120,서울특별시,강남구,강남대로112길 11 ~ 35
6121,서울특별시,강남구,강남대로112길 41 ~ 49
6121,서울특별시,강남구,강남대로114길 42 ~ 51
6120,서울특별시,강남구,강남대로114길 8 ~ 35
6120,서울특별시,강남구,강남대로116길 8 ~ 38
6118,서울특별시,강남구,강남대로118길 51 ~ 81
6121,서울특별시,강남구,강남대로118길 52 ~ 70
6119,서울특별시,강남구,강남대로118길 7 ~ 49
6120,서울특별시,강남구,강남대로118길 8 ~ 46
6118,서울특별시,강남구,강남대로120길 45-4 ~ 45-6
6119,서울특별시,강남구,강남대로120길 46
6118,서울특별시,강남구,강남대로120길 47 ~ 76
6119,서울특별시,강남구,강남대로120길 9 ~ 42
6114,서울특별시,강남구,강남대로122길 5 ~ 47
6115,서울특별시,강남구,강남대로122길 50 ~ 66
6119,서울특별시,강남구,강남대로122길 6 ~ 30-10
6114,서울특별시,강남구,강남대로124길 3-6 ~ 40
6113,서울특별시,강남구,강남대로124길 45 ~ 75
6114,서울특별시,강남구,강남대로126길 17 ~ 34
6113,서울특별시,강남구,강남대로126길 36 ~ 81
6113,서울특별시,강남구,강남대로128길 34 ~ 84
6114,서울특별시,강남구,강남대로128길 4 ~ 28
6111,서울특별시,강남구,강남대로128길 41 ~ 81
6110,서울특별시,강남구,강남대로128길 5 ~ 27
6044,서울특별시,강남구,강남대로132길 4 ~ 42
6045,서울특별시,강남구,강남대로132길 48 ~ 62
6043,서울특별시,강남구,강남대로136길 5-4 ~ 31
6045,서울특별시,강남구,강남대로136길 54 ~ 64
6042,서울특별시,강남구,강남대로136길 55 ~ 63
6044,서울특별시,강남구,강남대로136길 6 ~ 40
